type;title;director;cast;country;date_added;release_year;rating;listed_in;description;duration_value;duration_unit;country_count
TV Show;The Jaime Maussan Show;Unknown;Jaime Maussan;United States;2017-12-01;2010;TV-PG;Docuseries, International TV Shows, Spanish-Language TV Shows;Mexican journalist and UFO investigator Jaime Maussan travels the world collecting evidence and firsthand accounts of extraterrestrial phenomena.;1;Season;1
TV Show;The Jungle Book;Unknown;Emma Tate,Jimmy Hibbert,Sam Gold,David Holt,Joseph J. Terry;India, Germany, France;2019-05-11;2010;TV-Y7;Kids' TV;This animated series follows young Mowgli and his animal mentors Bagheera and Baloo, who do their best to protect him from fierce tiger Shere Khan.;1;Season;3
TV Show;The Kindness Diaries;Unknown;Leon Logothetis;Unknown;2019-05-01;2019;TV-PG;Reality TV;Host Leon Logothetis travels the world with only a vintage motorbike and the kindness of strangers, which he pays back in unexpected, inspiring ways.;1;Season;0
TV Show;The Lady in Dignity;Unknown;Hee-seon Kim,Seon-a Kim,Sang-hun Jeong,Tae-im Lee,Ki-woo Lee;South Korea;2018-01-30;2017;TV-MA;International TV Shows, Korean TV Shows, TV Dramas;The wife of a corporate heir finds her luxurious life overturned by a mysterious woman who joins the household as a caregiver for her father-in-law.;1;Season;1
TV Show;The Liar;Unknown;Aenie Wong,Janelle Chin,Karena Teo,Goh Wee Ping,Sam Chong;Unknown;2017-10-21;2013;TV-14;Crime TV Shows, International TV Shows, TV Dramas;At the CARE detective agency, investigators see a lot of action but must always keep their cases secret, even when it affects their personal lives.;1;Season;0
TV Show;The Lizzie Borden Chronicles;Unknown;Christina Ricci,Clea DuVall,Cole Hauser,Dylan Taylor,John Ralston,Bradley Stryker,Olivia Llewellyn,Jeff Wincott,Jessy Schram,Martha Irving,Gabrielle Trudel;United States;2016-02-01;2015;TV-14;Crime TV Shows, TV Dramas, TV Thrillers;Exonerated in the murder of her father and stepmother, Lizzie Borden takes on crime lords, detectives and other foes as she savors her new infamy.;1;Season;1
TV Show;The Making of Frozen Planet;Unknown;David Attenborough;United Kingdom, United States, Spain, Germany, Greece, Canada;2016-01-28;2012;TV-PG;British TV Shows, Docuseries, Science & Nature TV;Documentary crew members brave Earth's most frigid regions to capture the majesty and mystery found in the chillier side of the animal kingdom.;1;Season;6
TV Show;The Messengers;Unknown;Shantel VanSanten,Diogo Morgado,JD Pardo,Joel Courtney,Jon Fletcher,Sofia Black D'Elia,Anna Diop,Craig Frank;United States;2016-04-17;2015;TV-14;TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy;A group of strangers who are killed by a mysterious object soon come back to life and learn they have been chosen to prevent the apocalypse.;1;Season;1
TV Show;The Mortified Guide;Unknown;Unknown;United States;2018-02-14;2018;TV-MA;Docuseries;Brave people get onstage to read hilarious and humiliating tales of gawky teenage love, family dysfunction and other stories from their younger years.;1;Season;1
TV Show;The Most Beautiful Hands of Delhi;Unknown;Björn Kjellman,Joy Sengupta,Natasha Jayetileke;Sweden;2017-07-20;2017;TV-MA;International TV Shows, TV Comedies, TV Dramas;A stalled career, failed marriage and receding hairline drive a middle-aged Swedish man to try to revitalize his life by visiting India.;1;Season;1
TV Show;The Murder Detectives;Unknown;Unknown;United Kingdom;2017-03-31;2015;TV-MA;British TV Shows, Crime TV Shows, Docuseries;This series tracks the ups and downs of an 18-month investigation into the 2014 stabbing murder of teenager Nicholas Robinson in Bristol, England.;1;Season;1
